Date,Open,High,Low,Close,Volume
2026-02-13,676.4068370573647,680.961290747747,672.2691719299015,676.4663696289062,96267500
2026-02-17,674.8688419019007,679.6316291710169,670.5426469985775,677.5578002929688,81354700
2026-02-18,678.7188252184603,683.8090722697287,677.5380453641048,680.97119140625,73570300
2026-02-19,678.5401770095443,680.8620077880265,676.2678860499572,679.1751708984375,58649400
2026-02-20,677.0319102464942,684.7119142291095,676.4464562003476,684.0867919921875,100034000
2026-02-23,682.4992209190492,684.6523861034582,675.0970153480879,677.1013793945312,90558100
2026-02-24,676.6151751251432,683.0151380016027,674.7298762460771,682.0228881835938,73798700
2026-02-25,684.8310015582731,688.3038760705598,684.7516046120257,687.7780151367188,56369500
2026-02-26,687.9070203801248,687.9268241953206,679.046175727848,683.9578247070312,71671000
2026-02-27,677.795973699009,681.5367144347911,676.35719931042,680.6734619140625,83308900
2026-03-02,673.4400139353526,683.2831159083878,672.765291276125,681.0604858398438,87477200
2026-03-03,669.8281362739899,677.3196100252792,664.4699632194659,675.0573120117188,105003100
2026-03-04,676.3472549970834,681.7649608594664,674.3528231531807,679.8201293945312,79182200
2026-03-05,676.7937758642711,680.2170498641997,670.3738880206191,676.0297241210938,106606500
2026-03-06,668.1909311447467,670.8700177972564,664.5692556037578,667.1689453125,100687000
2026-03-09,661.2253729422058,674.650481531912,657.2563736570586,673.0133056640625,102667700
2026-03-10,672.4674947413112,678.0637980596332,669.5304741395607,671.9317016601562,81505300
2026-03-11,672.3286912573745,674.8093159596237,668.1215614523004,671.08837890625,68441700
2026-03-12,665.9583993556241,666.4446526664856,660.7094193200438,660.89794921875,108882200
2026-03-13,664.0831110227487,667.1293254881115,656.2343803863124,657.1571655273438,97200200
2026-03-16,663.1999840519829,666.8613885560293,661.9497395049242,663.844970703125,82023100
2026-03-17,667.1788836379297,669.2129836950214,664.5097291491037,665.5912475585938,87128000
2026-03-18,663.1801174312507,664.5295627375546,656.0657027257738,656.3038330078125,82062600
2026-03-19,651.8783782687178,657.8418097710767,650.0923405870744,654.6864624023438,111272500
2026-03-20,653.2009461223761,653.3800315656541,641.4703334037762,645.3009643554688,163617500
2026-03-23,654.7531040433624,659.2801583045331,650.6439158314106,652.07666015625,134802700
2026-03-24,648.0371459178807,653.7183875512989,646.604401549905,649.8877563476562,96457500
2026-03-25,655.3501116680137,657.5589538580906,650.9424473291369,653.5094604492188,90653800
2026-03-26,648.7734634761676,651.5493793651953,641.5699644768796,641.838623046875,96494400
2026-03-27,639.2616275919053,639.420794428861,629.9189411370072,630.89404296875,103649400
2026-03-30,636.8836547011163,637.1423539459004,626.108284608157,628.78466796875,99275900
2026-03-31,635.7195686416,648.2560368761451,634.7643854444117,647.0621337890625,152534100
2026-04-01,650.6041659517412,655.2008748639518,649.7086779392242,651.9373779296875,97841500
2026-04-02,643.1618697673937,654.8825248659317,641.858474913505,652.5244750976562,68358700
2026-04-06,652.554231190157,656.3947609217337,652.2159789115307,655.6087646484375,39105800
2026-04-07,653.3402849463747,656.285326673986,647.7784337275787,655.8972778320312,69980400
2026-04-08,672.980811715349,673.6673363432215,668.0756676404139,672.6027221679688,93606100
2026-04-09,671.4386399182858,677.7267318686964,670.3740257373166,676.4830322265625,57134400
2026-04-10,677.885949822129,678.5923930707559,675.0304203424645,676.0353393554688,42253500
2026-04-13,673.9955829678383,682.840788741459,673.1698101905051,682.6417846679688,54185800
2026-04-14,684.2238203737314,691.0791070995066,684.193942434314,690.959716796875,63480500
2026-04-15,691.7557051691649,696.7504224001667,690.7010502942645,696.412109375,58240400
2026-04-16,697.5264615426626,699.2378238459212,695.0092450197437,698.1234130859375,49972400
2026-04-17,702.5808909886877,708.7993894133457,702.2028014262665,706.5607299804688,70661900
2026-04-20,705.20752199003,706.3317705126415,702.5808139687996,705.1477661132812,43546800
2026-04-21,706.7000123508461,707.6949720613851,699.098505587723,700.53125,58941400
2026-04-22,705.5756906371417,707.8640857857167,704.6503246823615,707.6253051757812,42518500
2026-04-23,705.9239069650033,708.7694771316526,698.7403270820959,704.8792114257812,56174000
2026-04-24,707.1675680011435,710.8687887329964,705.4363479344694,710.3414916992188,45182000
2026-04-27,709.5754490929214,712.0230720129201,708.7098389427747,711.5653686523438,33135900
2026-04-28,708.2322548988411,709.2869098023077,705.6752010599358,708.1029052734375,43117400
2026-04-29,707.4163145996059,708.6102783309316,704.7995658491443,707.993408203125,41859200
2026-04-30,711.0280636665188,716.1620290590424,706.8691393587039,715.0377197265625,67240900
2026-05-01,717.6146516977453,721.216400793299,716.8385540170647,717.0177001953125,43049800
2026-05-04,716.4406056700121,718.4802608161392,711.3861936216806,714.3909912109375,51950600
2026-05-05,718.1320898558575,721.3855668152729,717.8534719876392,720.1220092773438,36933200
2026-05-06,724.489821452625,730.8874657022126,724.1515691652952,730.1312866210938,53288900
2026-05-07,731.3451201928577,732.4196936796947,726.0718458933673,727.8926391601562,51724600
2026-05-08,731.2257166531052,734.359863963193,730.8675457398152,733.9021606445312,47227100
2026-05-11,732.7380586745534,737.0561496205491,732.7380586745534,735.5736694335938,44024000
2026-05-12,733.1758744234386,735.1160580011854,728.1413807257971,734.4593505859375,54185300
2026-05-13,734.7478704606156,740.1604537310201,731.7629913201908,738.5685424804688,44200200
2026-05-14,739.9018102364839,745.7521781705404,739.8122371427646,744.3989868164062,45307600
2026-05-15,738.0511867146383,739.712813256131,734.2405345152865,735.4443969726562,60410800
2026-05-18,736.1010471042457,737.682999009625,729.6935042484962,734.927001953125,47843900
2026-05-19,731.0764945153984,733.9320239063612,727.8428755921286,730.03173828125,54255900
2026-05-20,732.0018002736176,738.1307251173267,730.1909663879147,737.5138549804688,45768000
2026-05-21,734.9170485709385,741.1156280791548,733.3151780259534,738.9764404296875,43332200
2026-05-22,742.4787264390759,745.1651298094138,740.7275876279662,741.8817749023438,41762000
2026-05-26,746.2297301040182,748.3390397979183,744.5979816306177,746.8068237304688,41123600
2026-05-27,747.0952952420212,747.5927750592914,744.4486686067338,746.6774291992188,42106300
2026-05-28,746.4685193943138,751.3438462445121,745.4536410614309,750.7965698242188,41562600
2026-05-29,752.0900813404212,754.2590862562773,750.8861582097875,752.6671142578125,55075700
2026-06-01,751.5527103892452,756.4479556154175,750.886104424133,754.7166748046875,43634900
2026-06-02,753.2144012702464,756.5674107365072,752.9357833937803,755.7415771484375,31581900
2026-06-03,754.3287420712209,754.9754294579049,749.7718095132926,750.4384155273438,51402500
2026-06-04,748.3091480570178,754.4878695071194,747.6823186029123,753.2740478515625,49923000
2026-06-05,748.5181345185488,749.0255736853693,731.82274221843,733.83251953125,93989400
2026-06-08,739.6132273185567,741.5832888174093,734.4693026781229,735.4940795898438,49319100
2026-06-09,739.881935268434,743.1354731343894,718.9480036644643,733.3350830078125,87683500
2026-06-10,729.69352181897,734.6583610930755,721.6741489247238,721.7736206054688,60341300
2026-06-11,725.0868662900759,736.2702039965386,720.7587550057447,734.04150390625,86330500
2026-06-12,736.9766163198905,740.6877965432628,731.3252525489901,738.0113525390625,57079500
2026-06-15,748.0604304424444,752.8661028247,747.9709180763429,751.0254516601562,60176400
2026-06-16,750.7468576807364,751.6323864215939,746.100412710964,746.5481567382812,67093100
2026-06-17,747.5032315039188,748.3589429763433,735.4940609532621,737.225341796875,85945200
2026-06-18,745.907751654771,746.3765582049119,742.0173878962117,744.8902587890625,80875700
2026-06-22,745.8479411927095,748.321778689857,741.2892538871644,742.546142578125,46628100
2026-06-23,731.9922892059834,737.7978798883457,730.4860198600484,731.7628784179688,66846800
2026-06-24,733.3489180103626,738.1171068570358,729.0296875445486,731.4237060546875,57439500
2026-06-25,737.0796452204372,737.5385276888334,727.7927091295785,732.4810791015625,53934400
2026-06-26,727.144386135875,734.7056273477464,714.8050317832251,727.1842651367188,71034000
2026-06-29,734.7055914816465,739.7231001504891,730.27658724538,739.1644897460938,58035200
2026-06-30,739.4537599262709,746.1671307285668,739.0547872797607,744.9202270507812,55626000
2026-07-01,743.1545925484338,747.5835968507926,740.541087308444,743.9127197265625,47100900
2026-07-02,745.5486859530862,749.4489739445169,738.1969465958291,742.9351806640625,57447800
2026-07-06,746.885320136641,750.5462122974698,745.5585975722108,749.4190673828125,50673300
2026-07-07,748.3616416292718,749.0998597580657,743.364102770238,745.85791015625,43721500
2026-07-08,741.3191472958572,744.3017921335774,737.6782249675691,743.5536499023438,43767400
2026-07-09,745.4987759890873,750.1073272936331,743.7431866839036,749.8480224609375,41441700
2026-07-10,750.187115173852,753.5487626123848,746.2468873823584,753.0799560546875,42191300
2026-07-13,750.6060836597362,752.0425191788765,746.1471851864706,747.3142700195312,44013600
2026-07-14,749.0499474324819,751.4739818301254,746.8055207475287,749.9677124023438,35143100
2026-07-15,752.3717122204262,753.7084197839658,748.3417413555546,752.9403076171875,43844800
2026-07-16,750.8953984161742,752.7009125511715,746.0274814662645,748.8604125976562,46409800
2026-07-17,740.241827732839,745.438883195828,738.9649691671198,741.4487915039062,62651000
2026-07-20,745.2094908804986,746.8753371556621,739.6732506975046,740.2518310546875,50422300
2026-07-21,744.4413918284653,747.1845799829406,742.3366329839115,746.426513671875,34324300
2026-07-22,744.7705725456777,748.1621748950539,744.5211918106933,745.55859375,32836200
2026-07-23,737.5385562389782,740.7206569606348,733.3888874570794,736.3515014648438,55437300
2026-07-24,736.6806667930385,741.8777222786117,735.4636571620507,737.099609375,44782000
2026-07-27,743.0648074406847,743.6833276942111,734.0472217265344,737.25927734375,41461200
2026-07-28,737.3589950224286,740.9500533043114,734.156924420905,739.0248413085938,47322200
2026-07-29,738.1370526174048,740.8403618199718,727.2939826612791,727.6531372070312,70697200
2026-07-30,734.2267392747757,740.6109103701467,732.7703947650456,739.852783203125,66811300
2026-07-31,742.835410914187,747.0449895804718,735.8527500027326,745.1796264648438,62445900
2026-08-03,747.5836183167282,756.7009928898597,746.9451890027125,755.793212890625,59927500
2026-08-04,758.7458651152236,771.494176400126,758.6361522059436,769.4193725585938,69154800
2026-08-05,773.928165423025,774.9256883846499,767.6039039413469,767.8831787109375,44689100
2026-08-06,768.3021872511085,769.9081846177485,765.5589990885744,766.65625,38416900
2026-08-07,769.1101628301597,772.0029428489042,767.703621378493,771.3446044921875,43586300
2026-08-10,770.6861849056471,773.1301282404592,769.7086319253093,771.1151733398438,39249500
2026-08-11,772.6115040483734,772.6912620504304,767.2946895097219,768.6513061523438,36740600
2026-08-12,772.7910096110111,772.9805414027246,769.369513273419,770.5764770507812,33179100
2026-08-13,772.9506321027081,777.4394855444215,772.1925048911166,775.9531860351562,35634500
2026-08-14,776.6114939657781,776.8708596736758,773.509212209858,774.4169921875,31367900
2026-08-17,774.2573577843602,774.8559080861019,770.5964655970525,770.7560424804688,34356600
2026-08-18,766.7959149360092,767.5939211307613,765.0202948350139,765.5490112304688,43920900
2026-08-19,768.4517358705159,770.5564946026684,766.1973243479778,767.1549682617188,40306000
2026-08-20,764.0627220124634,766.2472997692572,760.1523881029335,760.7109985351562,45520300
2026-08-21,764.1524418077088,765.9479709365374,762.2770937955632,763.8232421875,39188700
2026-08-24,762.8856098637509,763.3244615010249,760.1922857963137,761.5787963867188,32430900
2026-08-25,764.262137078792,764.8806573052586,761.159855395616,764.0127563476562,27422300
2026-08-26,762.8356805789958,765.449185749943,762.0376744224566,764.182373046875,28751600
2026-08-27,766.5964060257239,770.4468300957561,765.2596984507333,769.18994140625,34557100
2026-08-28,769.8483393622295,773.3795487683207,766.4068729286823,767.4442749023438,36744300
2026-08-31,765.4292990280279,766.097622354185,762.8257178677422,765.1499633789062,38810800
2026-09-01,760.1224772031874,762.7758614763637,757.5987149009983,759.89306640625,41126300
2026-09-02,760.5614001563074,764.5315220914426,759.8431519587122,763.2646484375,29566200
2026-09-03,765.99791709853,772.112737807933,765.5490195828438,771.2548217773438,43531600
2026-09-04,770.0977256925568,770.9555808433835,767.0951717806925,768.2822265625,34054200
2026-09-08,767.1649647963771,767.7934091111229,763.2447069992287,764.0626831054688,44746100
2026-09-09,762.1873669257697,762.5763546117217,759.055130192088,760.5115356445312,32812400
2026-09-10,756.1523365872063,758.2271404471661,754.7657651010062,755.9528198242188,42740400
2026-09-11,762.8257171109622,764.4816392943262,761.7084962835214,762.3967895507812,45512700
2026-09-14,757.119891309806,761.6287143614769,756.0525344863368,758.9952392578125,43992400
2026-09-15,758.2371341657202,758.4665449596201,754.2769973083872,755.513916015625,46195000
2026-09-16,757.6187023523285,759.7833101686804,747.7432005092232,752.1821899414062,59217700
2026-09-17,761.2596848801362,761.6786274833105,758.0775841455181,760.7109985351562,49652800
2026-09-18,761.3099975585938,762.0,757.969970703125,761.6900024414062,65308100
